index,loss,accuracy,bleu_4,cider,line
0,3.060,74.052,0.21367165263450813,0.771631843212279," * LOSS - 3.060, TOP-5 ACCURACY - 74.052, BLEU-4 - 0.21367165263450813, CIDEr - 0.771631843212279"
1,2.940,75.619,0.22807509326981673,0.8125254317518253," * LOSS - 2.940, TOP-5 ACCURACY - 75.619, BLEU-4 - 0.22807509326981673, CIDEr - 0.8125254317518253"
2,2.885,76.397,0.23621507997833582,0.8320737898815016," * LOSS - 2.885, TOP-5 ACCURACY - 76.397, BLEU-4 - 0.23621507997833582, CIDEr - 0.8320737898815016"
3,2.856,76.920,0.2383599569110258,0.8421020925655412," * LOSS - 2.856, TOP-5 ACCURACY - 76.920, BLEU-4 - 0.2383599569110258, CIDEr - 0.8421020925655412"
4,2.840,77.099,0.23985435291940863,0.8472532402898795," * LOSS - 2.840, TOP-5 ACCURACY - 77.099, BLEU-4 - 0.23985435291940863, CIDEr - 0.8472532402898795"
5,2.830,77.268,0.2422961370875612,0.8503050771911446," * LOSS - 2.830, TOP-5 ACCURACY - 77.268, BLEU-4 - 0.2422961370875612, CIDEr - 0.8503050771911446"
6,2.829,77.278,0.24261571492108566,0.8502507158119761," * LOSS - 2.829, TOP-5 ACCURACY - 77.278, BLEU-4 - 0.24261571492108566, CIDEr - 0.8502507158119761"
7,2.830,77.362,0.24265368589380729,0.8503240627008412," * LOSS - 2.830, TOP-5 ACCURACY - 77.362, BLEU-4 - 0.24265368589380729, CIDEr - 0.8503240627008412"
8,2.830,77.351,0.24404114700516522,0.8541773458164609," * LOSS - 2.830, TOP-5 ACCURACY - 77.351, BLEU-4 - 0.24404114700516522, CIDEr - 0.8541773458164609"
9,2.837,77.347,0.24383355553691585,0.8494409469780547," * LOSS - 2.837, TOP-5 ACCURACY - 77.347, BLEU-4 - 0.24383355553691585, CIDEr - 0.8494409469780547"
10,2.839,77.402,0.24309903101242647,0.8486083235863578," * LOSS - 2.839, TOP-5 ACCURACY - 77.402, BLEU-4 - 0.24309903101242647, CIDEr - 0.8486083235863578"
11,2.843,77.365,0.24186648191041485,0.84996199582411," * LOSS - 2.843, TOP-5 ACCURACY - 77.365, BLEU-4 - 0.24186648191041485, CIDEr - 0.84996199582411"
12,2.846,77.381,0.24376384838124598,0.8490602012524651," * LOSS - 2.846, TOP-5 ACCURACY - 77.381, BLEU-4 - 0.24376384838124598, CIDEr - 0.8490602012524651"
13,2.857,77.255,0.24323358597311764,0.8486177873425222," * LOSS - 2.857, TOP-5 ACCURACY - 77.255, BLEU-4 - 0.24323358597311764, CIDEr - 0.8486177873425222"
14,2.861,77.278,0.24347981314156122,0.8498767075173007," * LOSS - 2.861, TOP-5 ACCURACY - 77.278, BLEU-4 - 0.24347981314156122, CIDEr - 0.8498767075173007"
15,2.870,77.222,0.24127542131226146,0.8440436479495972," * LOSS - 2.870, TOP-5 ACCURACY - 77.222, BLEU-4 - 0.24127542131226146, CIDEr - 0.8440436479495972"
16,2.876,77.137,0.24150435674695322,0.843915705224612," * LOSS - 2.876, TOP-5 ACCURACY - 77.137, BLEU-4 - 0.24150435674695322, CIDEr - 0.843915705224612"
17,2.883,77.112,0.24053695200246866,0.8443980670702423," * LOSS - 2.883, TOP-5 ACCURACY - 77.112, BLEU-4 - 0.24053695200246866, CIDEr - 0.8443980670702423"
18,2.894,77.138,0.24066268379404981,0.8450095429184519," * LOSS - 2.894, TOP-5 ACCURACY - 77.138, BLEU-4 - 0.24066268379404981, CIDEr - 0.8450095429184519"
19,2.908,77.015,0.24185534099349457,0.8442975577906333," * LOSS - 2.908, TOP-5 ACCURACY - 77.015, BLEU-4 - 0.24185534099349457, CIDEr - 0.8442975577906333"
20,2.914,76.952,0.23930909567250003,0.8401134795855055," * LOSS - 2.914, TOP-5 ACCURACY - 76.952, BLEU-4 - 0.23930909567250003, CIDEr - 0.8401134795855055"
21,2.926,76.862,0.23795094914985543,0.8386762724344996," * LOSS - 2.926, TOP-5 ACCURACY - 76.862, BLEU-4 - 0.23795094914985543, CIDEr - 0.8386762724344996"
22,2.933,76.805,0.23895189064268388,0.8367675691179158," * LOSS - 2.933, TOP-5 ACCURACY - 76.805, BLEU-4 - 0.23895189064268388, CIDEr - 0.8367675691179158"
23,2.944,76.718,0.23656917684956885,0.8304888594334364," * LOSS - 2.944, TOP-5 ACCURACY - 76.718, BLEU-4 - 0.23656917684956885, CIDEr - 0.8304888594334364"
24,2.957,76.741,0.23578621176180065,0.8308816141054894," * LOSS - 2.957, TOP-5 ACCURACY - 76.741, BLEU-4 - 0.23578621176180065, CIDEr - 0.8308816141054894"
25,2.973,76.574,0.23602870691796518,0.8329169899624126," * LOSS - 2.973, TOP-5 ACCURACY - 76.574, BLEU-4 - 0.23602870691796518, CIDEr - 0.8329169899624126"
26,2.987,76.508,0.23552682230712751,0.8314805088911341," * LOSS - 2.987, TOP-5 ACCURACY - 76.508, BLEU-4 - 0.23552682230712751, CIDEr - 0.8314805088911341"
27,2.997,76.488,0.2363814293483898,0.8301189223009056," * LOSS - 2.997, TOP-5 ACCURACY - 76.488, BLEU-4 - 0.2363814293483898, CIDEr - 0.8301189223009056"
28,3.009,76.391,0.2338062965913673,0.8271958173487367," * LOSS - 3.009, TOP-5 ACCURACY - 76.391, BLEU-4 - 0.2338062965913673, CIDEr - 0.8271958173487367"
29,3.018,76.300,0.23445971480425143,0.8255250719105093," * LOSS - 3.018, TOP-5 ACCURACY - 76.300, BLEU-4 - 0.23445971480425143, CIDEr - 0.8255250719105093"
